iter	Passed	Remaining
0	61	61251
1	64	32184
2	67	22456
3	70	17558
4	73	14606
5	76	12630
6	79	11210
7	81	10150
8	84	9322
9	87	8637
10	89	8066
11	92	7605
12	95	7216
13	97	6891
14	100	6606
15	103	6357
16	106	6132
17	108	5925
18	111	5750
19	114	5593
20	117	5467
21	120	5335
22	122	5213
23	125	5100
24	128	5007
25	131	4910
26	133	4826
27	136	4739
28	139	4669
29	142	4597
30	145	4538
31	147	4472
32	150	4421
33	154	4383
34	157	4335
35	160	4288
36	162	4240
37	165	4193
38	168	4150
39	171	4109
40	173	4067
41	176	4034
42	179	3997
43	182	3964
44	185	3929
45	187	3894
46	190	3869
47	193	3836
48	196	3810
49	199	3786
50	202	3771
51	205	3746
52	208	3722
53	210	3693
54	213	3670
55	216	3651
56	219	3628
57	222	3607
58	224	3581
59	227	3561
60	230	3544
61	233	3528
62	235	3508
63	238	3488
64	241	3469
65	243	3452
66	246	3433
67	249	3421
68	252	3409
69	255	3393
70	258	3378
71	261	3364
72	263	3350
73	266	3335
74	269	3319
75	271	3305
76	274	3291
77	277	3278
78	280	3266
79	283	3254
80	285	3240
81	288	3226
82	290	3214
83	293	3202
84	296	3190
85	299	3180
86	301	3168
87	304	3156
88	307	3145
89	309	3133
90	312	3121
91	315	3112
92	318	3102
93	320	3093
94	323	3083
95	326	3073
96	329	3064
97	331	3054
98	334	3044
99	337	3034
100	340	3026
101	342	3017
102	345	3011
103	348	3002
104	351	2994
105	354	2987
106	357	2980
107	359	2970
108	362	2961
109	365	2953
110	367	2945
111	370	2938
112	373	2929
113	376	2924
114	378	2915
115	381	2908
116	384	2899
117	386	2892
118	389	2885
119	392	2877
120	395	2870
121	397	2864
122	400	2856
123	403	2850
124	406	2842
125	408	2835
126	411	2828
127	414	2822
128	417	2815
129	419	2809
130	422	2803
131	425	2796
132	427	2789
133	430	2783
134	433	2775
135	435	2768
136	438	2763
137	441	2756
138	443	2750
139	446	2744
140	450	2745
141	453	2738
142	455	2730
143	458	2724
144	460	2715
145	463	2710
146	466	2705
147	468	2698
148	471	2692
149	474	2686
150	476	2680
151	479	2675
152	482	2670
153	485	2664
154	487	2659
155	490	2653
156	493	2647
157	495	2641
158	498	2636
159	501	2630
160	503	2625
161	506	2620
162	509	2615
163	512	2610
164	515	2606
165	517	2600
166	520	2595
167	522	2590
168	525	2584
169	528	2579
170	531	2576
171	534	2571
172	536	2566
173	539	2562
174	542	2556
175	544	2551
176	547	2547
177	550	2542
178	553	2537
179	555	2531
180	558	2527
181	561	2523
182	564	2519
183	567	2515
184	569	2510
185	572	2505
186	575	2500
187	577	2495
188	580	2491
189	583	2486
190	585	2481
191	588	2476
192	591	2471
193	593	2467
194	596	2463
195	599	2458
196	602	2454
197	604	2449
198	607	2444
199	610	2440
200	612	2436
201	615	2432
202	618	2427
203	620	2422
204	623	2418
205	626	2414
206	629	2410
207	631	2406
208	634	2401
209	637	2397
210	640	2393
211	642	2388
212	645	2384
213	648	2380
214	650	2375
215	653	2372
216	656	2367
217	659	2364
218	661	2360
219	665	2357
220	667	2353
221	670	2349
222	673	2344
223	675	2341
224	678	2337
225	681	2333
226	684	2329
227	686	2325
228	689	2321
229	692	2317
230	695	2313
231	697	2309
232	700	2305
233	703	2301
234	705	2297
235	708	2293
236	711	2289
237	713	2285
238	716	2281
239	719	2278
240	722	2273
241	724	2270
242	727	2265
243	730	2262
244	733	2259
245	736	2256
246	738	2252
247	741	2248
248	744	2244
249	747	2241
250	749	2237
251	752	2233
252	755	2229
253	757	2225
254	760	2222
255	763	2219
256	766	2216
257	769	2213
258	772	2209
259	774	2205
260	777	2201
261	780	2199
262	783	2195
263	786	2193
264	789	2189
265	792	2186
266	795	2182
267	797	2179
268	800	2175
269	802	2170
270	805	2167
271	808	2163
272	811	2160
273	813	2156
274	816	2153
275	819	2149
276	821	2145
277	824	2142
278	827	2139
279	830	2135
280	833	2131
281	835	2128
282	838	2124
283	841	2120
284	843	2116
285	846	2113
286	849	2109
287	852	2106
288	854	2102
289	857	2099
290	859	2095
291	862	2092
292	865	2088
293	868	2085
294	871	2082
295	874	2079
296	876	2075
297	879	2072
298	882	2069
299	885	2065
300	888	2062
301	890	2059
302	893	2055
303	896	2052
304	898	2048
305	901	2044
306	904	2041
307	907	2037
308	910	2036
309	913	2032
310	915	2029
311	918	2025
312	921	2021
313	923	2018
314	926	2015
